iter	AUC	Logloss
135	0.6234738646	0.6777750981
136	0.6235180088	0.6776997014
137	0.623574632	0.6775917723
138	0.623550922	0.6775226782
139	0.623515877	0.677430887
140	0.6234441231	0.6773327376
141	0.6234150056	0.6772461093
142	0.6234701729	0.6771517469
143	0.6235474903	0.6770480949
144	0.6235118214	0.6769735791
145	0.6235335035	0.6769082646
146	0.6235793636	0.6768155122
147	0.6235718763	0.6767765975
148	0.6235617891	0.6767196679
149	0.6235323596	0.6766237684
150	0.6235738521	0.6765740465
151	0.6235970421	0.6764945381
152	0.6235382351	0.6764131422
153	0.623739874	0.6763424735
154	0.6237132523	0.6762761463
155	0.6237132523	0.6762761462
156	0.6238050765	0.6762220945
157	0.6239449966	0.6761336129
158	0.6239306458	0.6760990305
159	0.6239556037	0.6760134541
160	0.623962987	0.6759229019
161	0.6238986165	0.6759049574
162	0.6238415254	0.6758458689
163	0.6238430332	0.6757491311
164	0.6239959003	0.6757118361
165	0.6240685901	0.6756352986
166	0.6240256417	0.6755906537
167	0.6240757655	0.6755166026
168	0.6240956798	0.675481941
169	0.624057931	0.6754457015
170	0.6240630785	0.6753805426
171	0.6240002679	0.6753419739
172	0.6239813415	0.6753139683
173	0.6240641185	0.6752355997
174	0.6240956278	0.6751605152
175	0.6240942759	0.6751033314
176	0.624081589	0.6750936426
177	0.6240393686	0.6750617653
178	0.6240358849	0.6750207081
179	0.6242129818	0.6749275477
