company,type,inches,cpu,gpu,op_sys,touch_screen,hd_category,ram,memory_SSD,memory_HDD,weight
Other,Ultrabook,13.5,Intel Core i7,Other,Windows,1,FullHD,16,512,0,1.25
Toshiba,Notebook,15.6,Intel Core i7,Intel HD,Windows,0,FullHD,8,256,0,2.0
Asus,Netbook,11.6,Intel Celeron,Intel HD,Windows,0,HD,2,0,0,1.1
Lenovo,Notebook,13.3,Intel Core i3,Intel HD,Windows,0,FullHD,4,128,0,1.5
Asus,Notebook,14.0,AMD,AMD Radeon R,Windows,0,HD,4,64,0,1.65
Lenovo,Ultrabook,12.5,Intel Core i7,Intel HD,Windows,0,FullHD,8,256,0,1.36
MSI,Gaming,17.3,Intel Core i7,Nvidia GeForce GTX,Windows,0,FullHD,16,512,1024,4.14
Dell,Gaming,15.6,Intel Core i7,Nvidia GeForce GTX,Windows,0,UHD,16,256,1024,3.21
Dell,Notebook,15.6,Intel Core i5,AMD Radeon R,Windows,0,HD,4,0,500,2.24
Dell,2 in 1 Convertible,11.6,Intel Pentium,Intel HD,Windows,1,HD,4,0,500,1.47
HP,Workstation,17.3,Intel Core i7,Nvidia Quadro,Windows,0,FullHD,8,256,0,3.0
HP,Notebook,13.3,Intel Core i7,Intel HD,Windows,0,FullHD,8,256,0,1.49
Dell,Notebook,15.6,Intel Core i5,AMD Radeon 5,Linux,0,FullHD,8,256,0,2.2
Lenovo,Notebook,15.6,Intel Core i7,Nvidia Quadro,Windows,0,UHD,16,512,0,2.5
Acer,Notebook,15.6,Intel Core i5,Intel HD,Windows,0,HD,6,0,1024,2.23
HP,Notebook,15.6,Intel Core i5,Intel HD,No OS,0,HD,4,0,500,2.1
MSI,Gaming,15.6,Intel Core i5,Nvidia GeForce GTX,Windows,0,FullHD,8,128,1024,2.2
Dell,2 in 1 Convertible,13.3,Intel Core i5,Intel HD,Windows,1,FullHD,8,256,0,1.62
HP,Gaming,17.3,Intel Core i7,Nvidia GeForce GTX,Windows,0,FullHD,16,256,1024,3.35
Lenovo,Notebook,17.3,Intel Core i7,Nvidia Quadro,Windows,0,FullHD,8,256,0,3.4
Lenovo,Notebook,15.6,Intel Core i3,AMD Radeon R,No OS,0,HD,4,0,1024,1.9
HP,2 in 1 Convertible,13.3,Intel Core i7,Intel HD,Windows,1,QuadHD,8,512,0,1.48
Asus,Notebook,17.3,Intel Pentium,Nvidia GeForce,Windows,0,HD,4,0,1024,2.8
Lenovo,Notebook,15.6,AMD,AMD Radeon R,Windows,0,HD,8,0,1024,2.2
HP,Workstation,15.6,Intel Core i7,Nvidia Quadro,Windows,0,FullHD,8,256,0,2.0
Dell,Notebook,13.3,Intel Core i3,Intel HD,Windows,0,HD,4,0,500,1.65
Asus,Notebook,15.6,Intel Celeron,Intel HD,Windows,0,HD,4,0,500,2.2
Lenovo,Notebook,15.6,Intel Core i3,Intel HD,Windows,0,HD,8,0,1024,2.2
Dell,Notebook,15.6,Intel Core i5,Intel HD,Windows,0,HD,8,0,500,1.9
Other,Ultrabook,13.0,Intel Core i7,Intel HD,Windows,0,FullHD,8,512,0,1.05
Apple,Ultrabook,13.3,Intel Core i5,Other,Other,0,QuadHD,8,256,0,1.37
HP,Gaming,17.3,Intel Core i5,Nvidia GeForce GTX,Windows,0,FullHD,8,128,1024,2.75
Dell,Notebook,15.6,Intel Core i7,Nvidia GeForce,Windows,0,FullHD,8,0,1024,1.98
Acer,Notebook,15.6,Intel Celeron,Intel HD,Windows,0,HD,4,0,500,2.1
Lenovo,Ultrabook,14.0,Intel Core i7,Intel HD,Windows,0,FullHD,8,512,0,1.13
Apple,Ultrabook,13.3,Intel Core i5,Intel HD,Other,0,HD,8,0,0,1.35
Asus,Notebook,15.6,Intel Pentium,Intel HD,Windows,0,HD,4,0,1024,2.0
HP,Ultrabook,12.5,Intel Core i7,Intel HD,Windows,0,FullHD,8,256,0,1.26
Other,Notebook,13.3,Other,Intel HD,Windows,0,FullHD,4,0,0,1.35
Toshiba,Notebook,14.0,Intel Pentium,Intel HD,Windows,0,HD,4,128,0,1.75
Acer,Notebook,15.6,AMD,AMD Radeon R,Windows,0,HD,8,0,1024,2.2
HP,Notebook,17.3,Intel Core i7,Nvidia GeForce,Windows,0,FullHD,16,512,0,2.5
Lenovo,Notebook,14.0,Intel Core i7,Intel HD,Windows,0,FullHD,8,256,0,1.58
Lenovo,2 in 1 Convertible,13.9,Intel Core i7,Intel HD,Windows,1,UHD,16,512,0,1.4
HP,2 in 1 Convertible,13.3,Intel Core i5,Intel HD,Windows,1,FullHD,8,256,0,1.28
Lenovo,Workstation,15.6,Intel Core i7,Nvidia GeForce,Windows,0,UHD,16,512,0,2.3
Lenovo,2 in 1 Convertible,14.0,Intel Core i5,Intel HD,Windows,0,FullHD,8,256,0,1.74
Acer,Notebook,15.6,Intel Core i3,Intel HD,Linux,0,HD,4,0,500,2.4
Asus,Ultrabook,12.5,Intel Core i7,Intel HD,Windows,0,FullHD,16,512,0,0.91
Dell,Gaming,15.6,Intel Core i7,Nvidia GeForce GTX,Windows,0,UHD,16,512,1024,2.65
Lenovo,Ultrabook,12.5,Intel Core i5,Intel HD,Windows,0,FullHD,8,256,0,1.36
HP,Notebook,15.6,Intel Pentium,Intel HD,Windows,0,HD,4,0,1024,1.96
Asus,Gaming,17.3,Intel Core i7,Nvidia GeForce GTX,Windows,0,FullHD,8,0,1024,3.0
MSI,Gaming,15.6,Intel Core i7,Nvidia GeForce GTX,Windows,0,FullHD,8,128,1024,2.2
Dell,Gaming,15.6,Intel Core i7,Nvidia GeForce GTX,Windows,0,FullHD,16,0,1024,2.59
Lenovo,Notebook,14.0,Intel Core i5,Intel HD,Windows,0,FullHD,8,256,0,1.9
MSI,Gaming,15.6,Intel Core i7,Nvidia GeForce GTX,Windows,0,FullHD,8,128,1024,2.2
Other,Notebook,15.6,Other,Intel HD,Windows,0,FullHD,4,0,0,1.89
Toshiba,Notebook,15.6,Intel Core i5,Intel HD,Windows,0,HD,4,0,500,2.1
Acer,Notebook,15.6,Intel Celeron,Intel HD,Linux,0,HD,4,0,500,2.4
Asus,Gaming,15.6,AMD,AMD Radeon R,Windows,0,FullHD,8,0,1024,2.45
Dell,Notebook,15.6,Intel Core i5,Intel HD,Windows,0,FullHD,4,0,1024,2.18
Lenovo,Notebook,17.3,Intel Core i5,Nvidia GeForce,No OS,0,HD,8,256,0,2.8
Asus,Notebook,15.6,Intel Pentium,Intel HD,Windows,0,HD,4,0,1024,2.65
HP,Notebook,17.3,AMD,AMD Radeon 5,Windows,0,FullHD,6,0,2048,2.71
Acer,Notebook,15.6,Intel Core i3,Nvidia GeForce,Windows,0,FullHD,4,256,0,2.2
Dell,Gaming,17.3,Intel Core i7,Nvidia GeForce GTX,Windows,0,FullHD,16,256,1024,4.42
Lenovo,Notebook,15.6,Intel Core i5,Nvidia GeForce,No OS,0,HD,8,0,2048,2.2
Other,Ultrabook,13.5,Intel Core i7,Other,Windows,1,FullHD,8,256,0,1.252
Lenovo,Notebook,14.0,Intel Celeron,Intel HD,Other,0,HD,4,0,0,1.5
Acer,Notebook,15.6,AMD,AMD Radeon R,Windows,0,FullHD,8,256,0,2.23
Lenovo,Notebook,17.3,Intel Core i5,Nvidia GeForce GTX,Windows,0,HD,6,0,1024,2.8
HP,Ultrabook,15.6,Intel Core i7,Intel HD,Windows,0,FullHD,8,256,0,1.84
Asus,Ultrabook,13.3,Intel Core M,Intel HD,Windows,0,FullHD,8,512,0,1.2
Acer,Notebook,14.0,Intel Core i5,Intel HD,Windows,0,FullHD,8,256,0,1.56
Other,Ultrabook,13.3,Intel Core i5,Nvidia GeForce,No OS,0,FullHD,8,256,0,1.3
Dell,Notebook,15.6,Intel Core i5,AMD Radeon R,Windows,0,HD,8,0,1024,2.5
Asus,Notebook,14.0,Intel Core i7,Intel HD,Windows,0,FullHD,8,256,0,2.0
HP,Notebook,15.6,Intel Core i5,Intel HD,Windows,0,FullHD,8,0,1024,1.86
HP,2 in 1 Convertible,13.3,Intel Core i7,Intel HD,Windows,1,FullHD,8,256,0,1.28
Dell,Workstation,15.6,Intel Core i7,Nvidia Quadro,Windows,0,FullHD,8,256,0,1.78
Acer,Notebook,15.6,Intel Core i3,Intel HD,Windows,0,HD,4,0,500,2.4
Acer,2 in 1 Convertible,13.3,Intel Core i7,Intel HD,Windows,1,FullHD,8,256,0,1.6
Dell,Notebook,15.6,Intel Celeron,Intel HD,Windows,0,HD,2,0,500,2.2
Dell,Workstation,15.6,Intel Core i7,Nvidia Quadro,Windows,0,FullHD,8,256,0,2.0
Dell,Notebook,15.6,Intel Core i7,AMD Radeon R,Windows,1,FullHD,16,0,1024,2.3
Acer,Gaming,15.6,Intel Core i5,Nvidia GeForce GTX,Windows,0,FullHD,8,256,0,2.5
Dell,Notebook,15.6,Intel Core i3,Intel HD,Windows,0,HD,4,0,1024,2.3
MSI,Gaming,17.3,Intel Core i7,Nvidia GeForce GTX,Windows,0,FullHD,16,256,1024,3.78
Asus,Gaming,17.3,Intel Core i7,Nvidia GeForce GTX,Windows,0,FullHD,16,256,1024,3.0
Dell,Ultrabook,13.3,Intel Core i5,Intel HD,Windows,0,FullHD,8,256,0,1.21
Dell,Ultrabook,13.3,Intel Core i7,Intel HD,Windows,1,QuadHD,16,512,0,1.2
Lenovo,Notebook,15.6,Intel Core i3,Intel HD,Windows,0,FullHD,4,0,500,2.2
Toshiba,Notebook,15.6,Intel Core i5,Intel HD,Windows,0,HD,8,256,0,2.2
MSI,Gaming,15.6,Intel Core i7,Nvidia GeForce GTX,Windows,0,FullHD,8,128,1024,2.2
Dell,Notebook,15.6,Intel Core i7,AMD Radeon 5,Windows,0,FullHD,8,256,2048,2.02
Asus,Notebook,17.3,Intel Pentium,Nvidia GeForce,Windows,0,HD,4,0,1024,2.8
Lenovo,Notebook,15.6,Intel Core i3,Nvidia GeForce,No OS,0,HD,8,256,0,2.2
Dell,2 in 1 Convertible,13.3,Intel Core i5,Intel HD,Windows,1,FullHD,8,256,0,1.68
Dell,Notebook,15.6,Intel Core i5,Nvidia GeForce,Windows,1,UHD,8,256,0,2.04
Asus,Notebook,15.6,Intel Core i5,Intel HD,Windows,0,FullHD,8,256,0,2.37
Dell,Notebook,15.6,Intel Core i5,Intel HD,Windows,0,HD,12,0,1024,2.25
Lenovo,Netbook,11.6,Intel Celeron,Intel HD,Windows,1,HD,4,128,0,1.4
HP,Notebook,15.6,AMD,AMD Radeon 5,Windows,0,FullHD,4,256,0,1.91
HP,Notebook,15.6,Intel Core i5,Intel HD,Windows,0,FullHD,8,256,0,1.88
Lenovo,Notebook,14.0,Intel Core i5,AMD Radeon R,Windows,0,FullHD,8,256,0,1.75
Lenovo,Ultrabook,14.0,Intel Core i5,Intel HD,Windows,0,FullHD,8,256,0,1.32
Dell,2 in 1 Convertible,15.6,Intel Core i7,Intel HD,Windows,1,FullHD,8,0,1024,2.08
Acer,2 in 1 Convertible,13.3,Intel Core i5,Intel HD,Windows,1,FullHD,8,256,0,1.6
Asus,Gaming,17.3,Intel Core i7,Nvidia GeForce GTX,Windows,0,FullHD,8,256,1024,2.7
Dell,Ultrabook,13.3,Intel Core i5,Intel HD,Windows,0,FullHD,8,256,0,1.2
Asus,2 in 1 Convertible,12.5,Intel Core M,Intel HD,Other,0,FullHD,8,0,0,1.2
Dell,Gaming,15.6,Intel Core i7,Nvidia GeForce GTX,Windows,0,UHD,16,512,0,2.62
Dell,Gaming,15.6,Intel Core i5,Nvidia GeForce GTX,Windows,0,FullHD,8,0,1024,2.56
Toshiba,Ultrabook,13.3,Intel Core i7,Intel HD,Windows,0,FullHD,8,256,0,1.2
Lenovo,Notebook,17.3,Intel Core i3,Intel HD,No OS,0,FullHD,4,0,500,2.8
HP,Notebook,14.0,Intel Core i5,Intel HD,Windows,0,HD,4,256,0,1.48
Dell,Notebook,15.6,Intel Celeron,Intel HD,Windows,0,HD,4,0,500,1.8
HP,Notebook,14.0,Intel Core i5,Intel HD,Windows,0,HD,4,256,0,1.64
HP,Gaming,17.3,Intel Core i5,Nvidia GeForce GTX,Windows,0,FullHD,8,128,1024,3.35
Lenovo,Ultrabook,14.0,Intel Core i7,Intel HD,Windows,0,QuadHD,8,512,0,1.17
Asus,Notebook,15.6,Intel Celeron,Intel HD,Windows,0,FullHD,4,0,1024,2.0
Asus,Notebook,15.6,Intel Core i3,Nvidia GeForce,Linux,0,FullHD,8,0,1024,2.3
Toshiba,Notebook,14.0,Intel Core i5,Intel HD,Windows,0,HD,4,0,500,1.75
HP,Notebook,15.6,Intel Celeron,Intel HD,No OS,0,HD,4,0,500,1.86
Dell,Notebook,15.6,Intel Core i7,AMD Radeon R,Linux,0,FullHD,8,256,0,2.2
Apple,Ultrabook,15.4,Intel Core i7,Other,Other,0,QuadHD,16,512,0,1.83
Lenovo,Notebook,15.6,Intel Core i5,Nvidia GeForce,No OS,0,FullHD,8,256,0,2.2
Lenovo,Ultrabook,14.0,Intel Core i7,Intel HD,Windows,0,QuadHD,16,512,0,1.1
Lenovo,Ultrabook,12.5,Intel Core i5,Intel HD,Windows,0,FullHD,8,256,0,1.36
HP,Ultrabook,12.5,Intel Core i5,Intel HD,Windows,0,FullHD,4,0,500,1.26
HP,Notebook,15.6,Intel Core i7,Nvidia GeForce GTX,Windows,0,FullHD,6,0,1024,2.18
HP,Notebook,15.6,Intel Core i3,Intel HD,Windows,0,FullHD,4,128,0,2.1
Lenovo,Notebook,17.3,Intel Core i3,Intel HD,Windows,0,HD,4,0,1024,2.8
HP,Notebook,14.0,Intel Core i5,Intel HD,Windows,0,FullHD,4,256,0,1.54
HP,2 in 1 Convertible,13.3,Intel Core i7,Intel HD,Windows,1,UHD,8,512,0,1.29
Dell,Notebook,15.6,Intel Core i5,AMD Radeon R,Linux,0,HD,8,0,1024,2.32
HP,Notebook,13.3,Intel Pentium,Intel HD,Other,0,QuadHD,4,0,0,1.29
Lenovo,Notebook,15.6,Intel Core i5,Intel HD,Windows,0,FullHD,8,256,0,2.3
HP,Notebook,15.6,Intel Core i3,AMD Radeon 5,Windows,0,HD,4,0,500,1.86
HP,Notebook,13.3,Intel Core i5,Intel HD,Windows,0,FullHD,4,128,0,1.49
Lenovo,Workstation,15.6,Intel Core i7,Nvidia Quadro,Windows,0,FullHD,8,512,0,2.67
HP,Notebook,13.3,Intel Core i5,Intel HD,Windows,0,FullHD,4,0,500,1.49
Lenovo,Notebook,15.6,AMD,AMD Radeon R,Windows,0,HD,4,0,500,2.2
HP,Gaming,15.6,Intel Core i7,Nvidia GeForce GTX,Windows,0,FullHD,12,128,1024,2.62
Lenovo,Gaming,15.6,Intel Core i7,Nvidia GeForce GTX,No OS,0,FullHD,16,512,0,2.4
Lenovo,Notebook,14.0,Intel Celeron,Intel HD,Windows,0,HD,2,0,0,1.5
Dell,Notebook,15.6,Intel Core i5,AMD Radeon 5,Windows,0,FullHD,8,256,0,2.2
HP,2 in 1 Convertible,13.3,Intel Core i5,Intel HD,Windows,1,HD,8,256,0,1.58
Dell,Ultrabook,13.3,Intel Core i5,Intel HD,Windows,1,UHD,8,128,0,1.21
HP,Notebook,15.6,Intel Core i5,Intel HD,Windows,0,HD,4,0,1024,1.86
Dell,Notebook,15.6,Intel Core i5,AMD Radeon R,Windows,0,FullHD,8,0,1024,2.24
Lenovo,2 in 1 Convertible,14.0,Intel Core i7,Intel HD,Windows,1,FullHD,4,128,0,1.8
Asus,Gaming,17.3,Intel Core i7,Nvidia GeForce GTX,Windows,0,FullHD,16,256,1024,4.3
Lenovo,Notebook,15.6,Intel Core i5,Nvidia GeForce GTX,Windows,0,FullHD,4,0,1024,2.3
Dell,Notebook,15.6,Intel Core i5,AMD Radeon 5,Windows,0,FullHD,8,128,1024,2.2
Other,Ultrabook,14.0,Intel Core i7,Intel HD,Windows,1,FullHD,8,512,0,0.98
Lenovo,Notebook,15.6,Intel Core i3,Intel HD,Windows,0,FullHD,4,0,1024,1.85
Dell,Notebook,17.3,Intel Core i7,Nvidia GeForce,Windows,1,FullHD,16,512,0,2.77
MSI,Gaming,15.6,Intel Core i7,Nvidia GeForce GTX,Windows,0,FullHD,8,128,1024,2.3
Asus,Gaming,15.6,Intel Core i7,Nvidia GeForce GTX,Windows,0,FullHD,16,128,1024,2.2
HP,Notebook,17.3,Intel Core i3,Intel HD,Windows,0,HD,8,0,1024,2.65
Dell,Notebook,15.6,Intel Core i7,AMD Radeon R,Windows,0,FullHD,8,256,0,2.2
Toshiba,Notebook,15.6,Intel Core i5,Intel HD,Windows,0,FullHD,8,256,0,2.0
HP,Notebook,15.6,AMD,AMD Radeon R,Windows,0,HD,4,256,0,1.86
HP,Notebook,15.6,Intel Core i7,Intel HD,Windows,0,FullHD,8,256,0,1.84
HP,Notebook,15.6,Intel Core i3,Intel HD,Windows,0,HD,4,0,500,2.31
HP,Notebook,13.3,Intel Core i7,Intel HD,Windows,0,FullHD,16,512,0,1.49
Lenovo,Notebook,15.6,Intel Core i3,Intel HD,Windows,0,HD,8,128,0,2.2
Toshiba,Notebook,15.6,Intel Core i5,Intel HD,Windows,0,HD,8,128,0,2.0
Lenovo,Ultrabook,14.0,Intel Core i5,Intel HD,Windows,0,FullHD,4,180,0,1.7
